2026-03-19 13:54:55,864 - CPU: 12.5% | memory: 84.0% | Disk: 92.6%
2026-03-19 14:35:14,764 - CPU: 11.9% | memory: 82.7% | Disk: 92.6%
2026-03-19 14:40:29,362 - CPU: 12.1% | memory: 81.6% | Disk: 92.6%
2026-03-19 14:40:35,366 - CPU: 7.9% | memory: 81.4% | Disk: 92.6%
2026-03-19 14:40:41,368 - CPU: 13.0% | memory: 81.8% | Disk: 92.6%
2026-03-19 14:40:47,372 - CPU: 3.8% | memory: 82.0% | Disk: 92.6%
2026-03-19 14:40:53,375 - CPU: 4.4% | memory: 81.8% | Disk: 92.6%
2026-03-19 14:40:59,377 - CPU: 1.0% | memory: 81.7% | Disk: 92.6%
2026-03-19 14:41:05,383 - CPU: 28.5% | memory: 81.9% | Disk: 92.6%
2026-03-19 14:41:11,388 - CPU: 4.1% | memory: 82.0% | Disk: 92.6%
2026-03-19 14:41:17,391 - CPU: 21.2% | memory: 82.1% | Disk: 92.6%
2026-03-19 14:41:23,395 - CPU: 9.0% | memory: 82.4% | Disk: 92.6%
2026-03-19 14:41:29,398 - CPU: 14.9% | memory: 82.2% | Disk: 92.6%
2026-03-19 14:41:35,402 - CPU: 5.5% | memory: 82.3% | Disk: 92.6%
2026-03-19 14:41:41,407 - CPU: 25.8% | memory: 82.2% | Disk: 92.6%
2026-03-19 14:41:47,412 - CPU: 8.2% | memory: 82.2% | Disk: 92.6%
2026-03-19 14:41:53,414 - CPU: 1.4% | memory: 81.8% | Disk: 92.6%
2026-03-19 14:41:59,418 - CPU: 9.7% | memory: 81.8% | Disk: 92.6%
2026-03-19 14:42:05,423 - CPU: 6.0% | memory: 81.7% | Disk: 92.6%
2026-03-19 14:42:11,425 - CPU: 11.7% | memory: 81.7% | Disk: 92.6%
2026-03-19 14:42:17,428 - CPU: 18.6% | memory: 82.8% | Disk: 92.6%
2026-03-19 14:42:23,430 - CPU: 18.3% | memory: 82.8% | Disk: 92.6%
2026-03-19 14:42:29,435 - CPU: 6.1% | memory: 82.6% | Disk: 92.6%
2026-03-19 14:42:35,436 - CPU: 9.8% | memory: 82.7% | Disk: 92.6%
2026-03-19 14:42:41,439 - CPU: 11.4% | memory: 81.9% | Disk: 92.6%
2026-03-19 14:42:47,442 - CPU: 10.5% | memory: 81.8% | Disk: 92.6%
2026-03-19 14:42:53,445 - CPU: 18.0% | memory: 82.2% | Disk: 92.6%
2026-03-19 14:42:59,448 - CPU: 9.6% | memory: 82.3% | Disk: 92.6%
2026-03-19 14:43:05,450 - CPU: 1.0% | memory: 82.6% | Disk: 92.6%
2026-03-19 14:43:11,462 - CPU: 2.5% | memory: 82.3% | Disk: 92.6%
2026-03-19 14:43:17,464 - CPU: 2.5% | memory: 82.0% | Disk: 92.6%
2026-03-19 14:43:23,467 - CPU: 6.4% | memory: 82.8% | Disk: 92.6%
2026-03-19 14:43:29,470 - CPU: 18.0% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:43:35,474 - CPU: 15.3% | memory: 84.5% | Disk: 92.6%
2026-03-19 14:43:41,476 - CPU: 11.5% | memory: 83.5% | Disk: 92.6%
2026-03-19 14:43:47,480 - CPU: 12.7% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:43:53,483 - CPU: 19.9% | memory: 83.2% | Disk: 92.6%
2026-03-19 14:43:59,485 - CPU: 16.1% | memory: 83.0% | Disk: 92.6%
2026-03-19 14:44:05,489 - CPU: 7.9% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:44:11,493 - CPU: 17.0% | memory: 83.5% | Disk: 92.6%
2026-03-19 14:44:17,497 - CPU: 13.2% | memory: 83.6% | Disk: 92.6%
2026-03-19 14:44:23,500 - CPU: 13.8% | memory: 83.5% | Disk: 92.6%
2026-03-19 14:44:29,502 - CPU: 14.4% | memory: 83.4% | Disk: 92.6%
2026-03-19 14:44:35,506 - CPU: 11.3% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:44:41,508 - CPU: 17.3% | memory: 83.2% | Disk: 92.6%
2026-03-19 14:44:47,510 - CPU: 10.0% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:44:53,513 - CPU: 23.1% | memory: 83.8% | Disk: 92.6%
2026-03-19 14:44:59,515 - CPU: 18.7% | memory: 83.6% | Disk: 92.6%
2026-03-19 14:45:05,518 - CPU: 0.6% | memory: 83.6% | Disk: 92.6%
2026-03-19 14:45:11,522 - CPU: 11.6% | memory: 83.3% | Disk: 92.6%
2026-03-19 14:45:17,528 - CPU: 9.6% | memory: 83.0% | Disk: 92.6%
2026-03-19 14:45:23,530 - CPU: 1.9% | memory: 82.9% | Disk: 92.6%
